event_id,prediction,anomaly_score,threat_type,threat_level,confidence_score,reasons
EVT00407,Normal,-0.033545371249824,Brute Force,Low Threat,41,"[""Excessive failed login attempts (17 attempts exceeded threshold of 10)"", ""High asset vulnerability present (CVSS 8.1)"", ""Escalated to Low Threat due to isolated active attack indicator on Normal ML baseline""]"
EVT00408,Normal,-0.052183076817247,Privilege Escalation,Normal,8,"[""Activity aligns with standard operational baseline and security policies""]"
EVT00409,Normal,-0.0500059304227706,Normal Activity,Normal,12,"[""Activity aligns with standard operational baseline and security policies""]"
EVT00410,Normal,-0.0582954014805687,File Access,Normal,7,"[""Activity aligns with standard operational baseline and security policies""]"
EVT00411,Normal,-0.0146118941752552,Brute Force,Low Threat,40,"[""Excessive failed login attempts (20 attempts exceeded threshold of 10)"", ""Escalated to Low Threat due to isolated active attack indicator on Normal ML baseline""]"
EVT00412,Normal,-0.0674320841529967,Privilege Escalation,Normal,6,"[""Activity aligns with standard operational baseline and security policies""]"
EVT00413,Normal,-0.0128451988448561,USB / Removable Media,Normal,21,"[""Activity aligns with standard operational baseline and security policies""]"
EVT00414,Normal,-0.0154274220683655,Brute Force,Low Threat,44,"[""Excessive failed login attempts (11 attempts exceeded threshold of 10)"", ""High asset vulnerability present (CVSS 8.6)"", ""Escalated to Low Threat due to isolated active attack indicator on Normal ML baseline""]"
EVT00415,Normal,-0.0690588757087494,Unauthorized File Access,Normal,15,"[""Activity aligns with standard operational baseline and security policies""]"
EVT00416,Normal,-0.0423152508038323,Port Scan,Normal,16,"[""Activity aligns with standard operational baseline and security policies""]"
EVT00417,Normal,-0.01268936737535,USB / Removable Media,Normal,25,"[""Activity aligns with standard operational baseline and security policies""]"
EVT00418,Normal,-0.0512591653763454,Privilege Escalation,Normal,9,"[""Activity aligns with standard operational baseline and security policies""]"
EVT00419,Normal,-0.0568329179893797,Port Scan,Normal,18,"[""Activity aligns with standard operational baseline and security policies""]"
EVT00420,Normal,-0.0424264669704328,Port Scan,Normal,10,"[""Activity aligns with standard operational baseline and security policies""]"
EVT00421,Normal,-0.076544540449394,File Access,Normal,10,"[""Activity aligns with standard operational baseline and security policies""]"
EVT00422,Normal,-0.0111280252358431,Brute Force,Normal,31,"[""Activity aligns with standard operational baseline and security policies""]"
EVT00423,Normal,-0.0375631300159573,Phishing,Normal,11,"[""Activity aligns with standard operational baseline and security policies""]"
EVT00424,Normal,-0.0307696341079167,Malware,Low Threat,38,"[""Malware payload or malicious signature detected"", ""Escalated to Low Threat due to isolated active attack indicator on Normal ML baseline""]"
EVT00425,Normal,-0.0720296071205916,SQL Injection,Normal,5,"[""Activity aligns with standard operational baseline and security policies""]"
EVT00426,Normal,-0.057073315200503,Privilege Escalation,Normal,8,"[""Activity aligns with standard operational baseline and security policies""]"
EVT00427,Normal,-0.0439887450614771,Brute Force,Normal,23,"[""Activity aligns with standard operational baseline and security policies""]"
EVT00428,Normal,-0.0563316709534852,Brute Force,Normal,17,"[""Activity aligns with standard operational baseline and security policies""]"
EVT00429,Normal,-0.0616584373631619,Privilege Escalation,Normal,13,"[""Activity aligns with standard operational baseline and security policies""]"
EVT00430,Normal,-0.0458708853373953,Brute Force,Normal,24,"[""Activity aligns with standard operational baseline and security policies""]"
EVT00431,Normal,-0.0201491476526409,Port Scan,Normal,20,"[""Activity aligns with standard operational baseline and security policies""]"
EVT00432,Normal,-0.032816401417489,SQL Injection,Normal,18,"[""Activity aligns with standard operational baseline and security policies""]"
EVT00433,Normal,-0.0064205687771435,Malware,Low Threat,36,"[""Malware payload or malicious signature detected"", ""Escalated to Low Threat due to isolated active attack indicator on Normal ML baseline""]"
EVT00434,Normal,-0.0329400467342782,Brute Force,Normal,25,"[""Activity aligns with standard operational baseline and security policies""]"
EVT00435,Normal,-0.018126971186665,USB / Removable Media,Normal,20,"[""Activity aligns with standard operational baseline and security policies""]"
EVT00436,Normal,-0.0569173292903226,SQL Injection,Normal,14,"[""Activity aligns with standard operational baseline and security policies""]"
EVT00437,Normal,-0.0298116477301948,Brute Force,Low Threat,40,"[""Elevated failed login attempts (4 attempts)"", ""Critical asset vulnerability present (CVSS 9.1)"", ""Minor escalation to Low Threat due to elevated failed logins with risk context on Normal ML baseline""]"
EVT00438,Normal,-0.0166605683136797,Brute Force,Normal,34,"[""Activity aligns with standard operational baseline and security policies""]"
EVT00439,Normal,-0.044272989388842,Privilege Escalation,Normal,20,"[""Activity aligns with standard operational baseline and security policies""]"
EVT00440,Normal,-0.0533786433125272,SQL Injection,Normal,8,"[""Activity aligns with standard operational baseline and security policies""]"
EVT00441,Normal,-0.0187928846502579,Brute Force,Normal,23,"[""Activity aligns with standard operational baseline and security policies""]"
EVT00442,Normal,-0.0608771805181208,File Access,Normal,7,"[""Activity aligns with standard operational baseline and security policies""]"
EVT00443,Normal,-0.0676127548220105,Normal Activity,Normal,12,"[""Activity aligns with standard operational baseline and security policies""]"
EVT00444,Normal,-0.0585493457479575,Brute Force,Normal,13,"[""Activity aligns with standard operational baseline and security policies""]"
EVT00445,Normal,-0.0323514095092182,Brute Force,Normal,27,"[""Activity aligns with standard operational baseline and security policies""]"
EVT00446,Normal,-0.0366852422083257,Brute Force,Low Threat,31,"[""Excessive failed login attempts (12 attempts exceeded threshold of 10)"", ""Escalated to Low Threat due to isolated active attack indicator on Normal ML baseline""]"
EVT00447,Normal,-0.032134593115462,Privilege Escalation,Normal,18,"[""Activity aligns with standard operational baseline and security policies""]"
EVT00448,Normal,-0.035887641378386,SQL Injection,Normal,25,"[""Activity aligns with standard operational baseline and security policies""]"
EVT00449,Suspicious,0.0019056989138144,Malware,Critical Threat,64,"[""Malware payload or malicious signature detected"", ""Isolation Forest flagged event as anomalous (score: 0.001906)""]"
EVT00450,Normal,-0.0558344021268078,Phishing,Normal,18,"[""Activity aligns with standard operational baseline and security policies""]"
EVT00451,Normal,-0.0477575692186488,USB / Removable Media,Normal,9,"[""Activity aligns with standard operational baseline and security policies""]"
EVT00452,Normal,-0.0511001626444514,Privilege Escalation,Normal,15,"[""Activity aligns with standard operational baseline and security policies""]"
EVT00453,Normal,-0.0570396180748192,SQL Injection,Normal,8,"[""Activity aligns with standard operational baseline and security policies""]"
EVT00454,Normal,-0.0242625578853342,Brute Force,Low Threat,43,"[""Excessive failed login attempts (15 attempts exceeded threshold of 10)"", ""High asset vulnerability present (CVSS 7.6)"", ""Escalated to Low Threat due to isolated active attack indicator on Normal ML baseline""]"
EVT00455,Normal,-0.0305472466994623,Port Scan,Normal,22,"[""Activity aligns with standard operational baseline and security policies""]"
EVT00456,Normal,-0.0329444155184032,Brute Force,Low Threat,37,"[""Excessive failed login attempts (17 attempts exceeded threshold of 10)"", ""Escalated to Low Threat due to isolated active attack indicator on Normal ML baseline""]"
EVT00457,Normal,-0.0691253346844309,File Access,Normal,5,"[""Activity aligns with standard operational baseline and security policies""]"
EVT00458,Normal,-0.0418206744092309,File Access,Normal,10,"[""Activity aligns with standard operational baseline and security policies""]"
EVT00459,Normal,-0.0337495162399639,Unauthorized File Access,Normal,18,"[""Activity aligns with standard operational baseline and security policies""]"
EVT00460,Normal,-0.0369187843726124,Phishing,Normal,11,"[""Activity aligns with standard operational baseline and security policies""]"
EVT00461,Normal,-0.0336560630674932,Malware,Low Threat,31,"[""Malware payload or malicious signature detected"", ""Escalated to Low Threat due to isolated active attack indicator on Normal ML baseline""]"
EVT00462,Normal,-0.0400161152188962,Port Scan,Normal,24,"[""Activity aligns with standard operational baseline and security policies""]"
EVT00463,Normal,-0.0167124460035031,Malware,Low Threat,44,"[""Malware payload or malicious signature detected"", ""High asset vulnerability present (CVSS 8.1)"", ""Escalated to Low Threat due to isolated active attack indicator on Normal ML baseline""]"
EVT00464,Normal,-0.0492645913087997,Privilege Escalation,Normal,15,"[""Activity aligns with standard operational baseline and security policies""]"
EVT00465,Normal,-0.0719998052995455,File Access,Normal,19,"[""Activity aligns with standard operational baseline and security policies""]"
EVT00466,Normal,-0.0489301466846146,Brute Force,Low Threat,34,"[""Excessive failed login attempts (17 attempts exceeded threshold of 10)"", ""Escalated to Low Threat due to isolated active attack indicator on Normal ML baseline""]"
EVT00467,Normal,-0.0429193254791092,Brute Force,Normal,29,"[""Activity aligns with standard operational baseline and security policies""]"
EVT00468,Normal,-0.0460871927833281,USB / Removable Media,Normal,15,"[""Activity aligns with standard operational baseline and security policies""]"
EVT00469,Normal,-0.0325776232599535,Unauthorized File Access,Normal,12,"[""Activity aligns with standard operational baseline and security policies""]"
EVT00470,Normal,-0.0708497806496517,Unauthorized File Access,Normal,15,"[""Activity aligns with standard operational baseline and security policies""]"
EVT00471,Normal,-0.0617446967341962,Normal Activity,Normal,10,"[""Activity aligns with standard operational baseline and security policies""]"
EVT00472,Normal,-0.0681378008250037,Privilege Escalation,Normal,12,"[""Activity aligns with standard operational baseline and security policies""]"
EVT00473,Normal,-0.0383296407315259,Brute Force,Normal,20,"[""Activity aligns with standard operational baseline and security policies""]"
EVT00474,Normal,-0.051827866285399,Phishing,Normal,14,"[""Activity aligns with standard operational baseline and security policies""]"
EVT00475,Normal,-0.0078291988815695,Malware,Low Threat,36,"[""Malware payload or malicious signature detected"", ""Escalated to Low Threat due to isolated active attack indicator on Normal ML baseline""]"
EVT00476,Normal,-0.0095240591615258,Brute Force,Low Threat,35,"[""Excessive failed login attempts (16 attempts exceeded threshold of 10)"", ""Escalated to Low Threat due to isolated active attack indicator on Normal ML baseline""]"
EVT00477,Normal,-0.0727758280246103,Privilege Escalation,Normal,5,"[""Activity aligns with standard operational baseline and security policies""]"
EVT00478,Normal,-0.0451919834132197,Port Scan,Normal,10,"[""Activity aligns with standard operational baseline and security policies""]"
EVT00479,Normal,-0.0178310570961436,Brute Force,Low Threat,40,"[""Excessive failed login attempts (16 attempts exceeded threshold of 10)"", ""Escalated to Low Threat due to isolated active attack indicator on Normal ML baseline""]"
EVT00480,Normal,-0.0536104324388247,SQL Injection,Normal,14,"[""Activity aligns with standard operational baseline and security policies""]"
EVT00481,Normal,-0.0621203518881797,SQL Injection,Normal,7,"[""Activity aligns with standard operational baseline and security policies""]"
EVT00482,Normal,-0.0438109070588949,Brute Force,Normal,19,"[""Activity aligns with standard operational baseline and security policies""]"
EVT00483,Normal,-0.0175076396498483,Brute Force,Normal,33,"[""Activity aligns with standard operational baseline and security policies""]"
EVT00484,Normal,-0.0270654350249749,Normal Activity,Normal,13,"[""Activity aligns with standard operational baseline and security policies""]"
EVT00485,Normal,-0.0143515061842095,Malware,Low Threat,40,"[""Malware payload or malicious signature detected"", ""Escalated to Low Threat due to isolated active attack indicator on Normal ML baseline""]"
EVT00486,Normal,-0.0733259025412238,SQL Injection,Normal,11,"[""Activity aligns with standard operational baseline and security policies""]"
EVT00487,Normal,-0.0640860907518037,Brute Force,Normal,15,"[""Activity aligns with standard operational baseline and security policies""]"
EVT00488,Normal,-0.0017910663168976,Brute Force,Medium Threat,55,"[""Excessive failed login attempts (18 attempts exceeded threshold of 10)"", ""Critical asset vulnerability present (CVSS 9.5)"", ""Escalated to Medium Threat due to strong active attack indicator combined with risk context on Normal ML baseline""]"
EVT00489,Normal,-0.0305505083792011,Port Scan,Normal,22,"[""Activity aligns with standard operational baseline and security policies""]"
EVT00490,Suspicious,0.0125553296140057,Brute Force,Critical Threat,60,"[""Elevated failed login attempts (5 attempts)"", ""Isolation Forest flagged event as anomalous (score: 0.012555)""]"
EVT00491,Normal,-0.0153364444751653,Brute Force,Low Threat,34,"[""Excessive failed login attempts (16 attempts exceeded threshold of 10)"", ""Escalated to Low Threat due to isolated active attack indicator on Normal ML baseline""]"
EVT00492,Suspicious,0.001400644217967,Brute Force,Critical Threat,60,"[""Elevated failed login attempts (10 attempts)"", ""Isolation Forest flagged event as anomalous (score: 0.001401)""]"
EVT00493,Normal,-0.0270045741663511,Port Scan,Normal,13,"[""Activity aligns with standard operational baseline and security policies""]"
EVT00494,Normal,-0.004094027180504,Brute Force,Low Threat,46,"[""Excessive failed login attempts (14 attempts exceeded threshold of 10)"", ""High asset vulnerability present (CVSS 7.1)"", ""Escalated to Low Threat due to isolated active attack indicator on Normal ML baseline""]"
EVT00495,Normal,-0.0694824096317762,File Access,Normal,15,"[""Activity aligns with standard operational baseline and security policies""]"
EVT00496,Normal,-0.0219039425567144,Privilege Escalation,Normal,28,"[""Activity aligns with standard operational baseline and security policies""]"
EVT00497,Normal,-0.0225366528445163,Privilege Escalation,Normal,20,"[""Activity aligns with standard operational baseline and security policies""]"
EVT00498,Normal,-0.0387850562405283,Malware,Low Threat,36,"[""Malware payload or malicious signature detected"", ""Escalated to Low Threat due to isolated active attack indicator on Normal ML baseline""]"
EVT00499,Normal,-0.0428227782060259,SQL Injection,Normal,10,"[""Activity aligns with standard operational baseline and security policies""]"
EVT00500,Normal,-0.0486450700622262,USB / Removable Media,Normal,9,"[""Activity aligns with standard operational baseline and security policies""]"
EVT00501,Normal,-0.0128315344699884,Brute Force,Low Threat,45,"[""Excessive failed login attempts (15 attempts exceeded threshold of 10)"", ""High asset vulnerability present (CVSS 8.4)"", ""Escalated to Low Threat due to isolated active attack indicator on Normal ML baseline""]"
EVT00502,Normal,-0.0600568720719419,Unauthorized File Access,Normal,7,"[""Activity aligns with standard operational baseline and security policies""]"
EVT00503,Normal,-0.0491714266166421,Brute Force,Normal,28,"[""Activity aligns with standard operational baseline and security policies""]"
EVT00504,Normal,-0.0331290825735778,USB / Removable Media,Normal,12,"[""Activity aligns with standard operational baseline and security policies""]"
EVT00505,Normal,-0.0645759192573781,Brute Force,Low Threat,26,"[""Elevated failed login attempts (7 attempts)"", ""Activity occurred outside standard operational hours (18:00)"", ""Minor escalation to Low Threat due to elevated failed logins with risk context on Normal ML baseline""]"
EVT00506,Normal,-0.0247824120344605,USB / Removable Media,Normal,25,"[""Activity aligns with standard operational baseline and security policies""]"
EVT00507,Normal,-0.0546182837445627,SQL Injection,Normal,24,"[""Activity aligns with standard operational baseline and security policies""]"
EVT00508,Normal,-0.0542443969094669,Port Scan,Normal,24,"[""Activity aligns with standard operational baseline and security policies""]"
EVT00509,Normal,-0.0503853623658219,Phishing,Normal,25,"[""Activity aligns with standard operational baseline and security policies""]"
EVT00510,Normal,-0.0796769705369161,SQL Injection,Normal,16,"[""Activity aligns with standard operational baseline and security policies""]"
EVT00511,Normal,-0.0063568172715795,Brute Force,Low Threat,42,"[""Elevated failed login attempts (10 attempts)"", ""Activity occurred outside standard operational hours (18:00)"", ""Minor escalation to Low Threat due to elevated failed logins with risk context on Normal ML baseline""]"
EVT00512,Normal,-0.0258568133250938,Malware,Medium Threat,43,"[""Malware payload or malicious signature detected"", ""Activity occurred outside standard operational hours (18:00)"", ""Escalated to Medium Threat due to strong active attack indicator combined with risk context on Normal ML baseline""]"
EVT00513,Normal,-0.0423199515920882,Phishing,Normal,30,"[""Activity aligns with standard operational baseline and security policies""]"
EVT00514,Normal,-0.0275475669322606,Privilege Escalation,Normal,19,"[""Activity aligns with standard operational baseline and security policies""]"
EVT00515,Normal,-0.0226480987140565,Malware,Medium Threat,50,"[""Malware payload or malicious signature detected"", ""Activity occurred outside standard operational hours (18:00)"", ""Escalated to Medium Threat due to strong active attack indicator combined with risk context on Normal ML baseline""]"
EVT00516,Normal,-0.0600584245632274,SQL Injection,Normal,23,"[""Activity aligns with standard operational baseline and security policies""]"
EVT00517,Normal,-0.0431988287724968,Brute Force,Low Threat,29,"[""Elevated failed login attempts (9 attempts)"", ""Activity occurred outside standard operational hours (19:00)"", ""Minor escalation to Low Threat due to elevated failed logins with risk context on Normal ML baseline""]"
EVT00518,Normal,-0.0704112499161451,Unauthorized File Access,Normal,11,"[""Activity aligns with standard operational baseline and security policies""]"
EVT00519,Normal,-0.0564289370004157,Phishing,Normal,20,"[""Activity aligns with standard operational baseline and security policies""]"
EVT00520,Normal,-0.055749382997018,Brute Force,Medium Threat,44,"[""Excessive failed login attempts (12 attempts exceeded threshold of 10)"", ""Activity occurred outside standard operational hours (19:00)"", ""Escalated to Medium Threat due to strong active attack indicator combined with risk context on Normal ML baseline""]"
EVT00521,Normal,-0.0766433270628781,Unauthorized File Access,Normal,10,"[""Activity aligns with standard operational baseline and security policies""]"
EVT00522,Normal,-0.0239834042763364,Brute Force,Medium Threat,49,"[""Excessive failed login attempts (19 attempts exceeded threshold of 10)"", ""Activity occurred outside standard operational hours (19:00)"", ""Escalated to Medium Threat due to strong active attack indicator combined with risk context on Normal ML baseline""]"
EVT00523,Normal,-0.026096287974048,Brute Force,Medium Threat,43,"[""Excessive failed login attempts (16 attempts exceeded threshold of 10)"", ""Activity occurred outside standard operational hours (19:00)"", ""Escalated to Medium Threat due to strong active attack indicator combined with risk context on Normal ML baseline""]"
EVT00524,Normal,-0.0350977952076926,Malware,Medium Threat,47,"[""Malware payload or malicious signature detected"", ""Activity occurred outside standard operational hours (19:00)"", ""Escalated to Medium Threat due to strong active attack indicator combined with risk context on Normal ML baseline""]"
EVT00525,Normal,-0.0295346434786042,Brute Force,Medium Threat,48,"[""Excessive failed login attempts (15 attempts exceeded threshold of 10)"", ""Activity occurred outside standard operational hours (19:00)"", ""Escalated to Medium Threat due to strong active attack indicator combined with risk context on Normal ML baseline""]"
EVT00526,Normal,-0.0042553019213941,Brute Force,Medium Threat,53,"[""Excessive failed login attempts (20 attempts exceeded threshold of 10)"", ""Activity occurred outside standard operational hours (19:00)"", ""Escalated to Medium Threat due to strong active attack indicator combined with risk context on Normal ML baseline""]"
EVT00527,Normal,-0.0257987749959214,Unauthorized File Access,Normal,19,"[""Activity aligns with standard operational baseline and security policies""]"
EVT00528,Normal,-0.0194524034977454,Malware,Medium Threat,54,"[""Malware payload or malicious signature detected"", ""High asset vulnerability present (CVSS 8.3)"", ""Activity occurred outside standard operational hours (19:00)"", ""Escalated to Medium Threat due to strong active attack indicator combined with risk context on Normal ML baseline""]"
EVT00529,Normal,-0.0508089339145116,Brute Force,Low Threat,28,"[""Elevated failed login attempts (9 attempts)"", ""Activity occurred outside standard operational hours (20:00)"", ""Minor escalation to Low Threat due to elevated failed logins with risk context on Normal ML baseline""]"
EVT00530,Normal,-0.0378127906142602,Brute Force,Low Threat,30,"[""Elevated failed login attempts (5 attempts)"", ""Activity occurred outside standard operational hours (20:00)"", ""Minor escalation to Low Threat due to elevated failed logins with risk context on Normal ML baseline""]"
EVT00531,Normal,-0.0264184766079554,Privilege Escalation,Normal,25,"[""Activity aligns with standard operational baseline and security policies""]"
EVT00532,Normal,-0.0773813797823124,Unauthorized File Access,Normal,16,"[""Activity aligns with standard operational baseline and security policies""]"
EVT00533,Normal,-0.046078310546696,Port Scan,Normal,25,"[""Activity aligns with standard operational baseline and security policies""]"
EVT00534,Normal,-0.0103384740379051,Malware,Medium Threat,46,"[""Malware payload or malicious signature detected"", ""Activity occurred outside standard operational hours (20:00)"", ""Escalated to Medium Threat due to strong active attack indicator combined with risk context on Normal ML baseline""]"
EVT00535,Normal,-0.032806527759531,Malware,Medium Threat,52,"[""Malware payload or malicious signature detected"", ""High asset vulnerability present (CVSS 8.1)"", ""Activity occurred outside standard operational hours (20:00)"", ""Escalated to Medium Threat due to strong active attack indicator combined with risk context on Normal ML baseline""]"
EVT00536,Normal,-0.0669845171740295,SQL Injection,Normal,22,"[""Activity aligns with standard operational baseline and security policies""]"
EVT00537,Normal,-0.0224050274556482,Malware,Medium Threat,54,"[""Malware payload or malicious signature detected"", ""High asset vulnerability present (CVSS 7.5)"", ""Activity occurred outside standard operational hours (20:00)"", ""Escalated to Medium Threat due to strong active attack indicator combined with risk context on Normal ML baseline""]"
EVT00538,Normal,-0.0520786051328446,Unauthorized File Access,Normal,24,"[""Activity aligns with standard operational baseline and security policies""]"
EVT00539,Normal,-0.0102948083925437,Malware,Medium Threat,56,"[""Malware payload or malicious signature detected"", ""High asset vulnerability present (CVSS 7.8)"", ""Activity occurred outside standard operational hours (20:00)"", ""Escalated to Medium Threat due to strong active attack indicator combined with risk context on Normal ML baseline""]"
EVT00540,Normal,-0.0453321768539988,Brute Force,Medium Threat,40,"[""Excessive failed login attempts (12 attempts exceeded threshold of 10)"", ""Activity occurred outside standard operational hours (20:00)"", ""Escalated to Medium Threat due to strong active attack indicator combined with risk context on Normal ML baseline""]"
EVT00541,Normal,-0.0322999027409491,Malware,Medium Threat,48,"[""Malware payload or malicious signature detected"", ""Activity occurred outside standard operational hours (21:00)"", ""Escalated to Medium Threat due to strong active attack indicator combined with risk context on Normal ML baseline""]"
EVT00542,Normal,-0.0511043317997697,Malware,Medium Threat,39,"[""Malware payload or malicious signature detected"", ""Activity occurred outside standard operational hours (21:00)"", ""Escalated to Medium Threat due to strong active attack indicator combined with risk context on Normal ML baseline""]"
EVT00543,Normal,-0.0634304793302459,SQL Injection,Normal,12,"[""Activity aligns with standard operational baseline and security policies""]"
EVT00544,Normal,-0.033643764098638,Brute Force,Medium Threat,52,"[""Excessive failed login attempts (20 attempts exceeded threshold of 10)"", ""High asset vulnerability present (CVSS 8.2)"", ""Activity occurred outside standard operational hours (21:00)"", ""Escalated to Medium Threat due to strong active attack indicator combined with risk context on Normal ML baseline""]"
EVT00545,Normal,-0.0784994107165784,Unauthorized File Access,Normal,16,"[""Activity aligns with standard operational baseline and security policies""]"
EVT00546,Normal,-0.0804911108610857,Unauthorized File Access,Normal,9,"[""Activity aligns with standard operational baseline and security policies""]"
EVT00547,Normal,-0.0410921078958736,Brute Force,Low Threat,44,"[""Elevated failed login attempts (4 attempts)"", ""Critical asset vulnerability present (CVSS 9.4)"", ""Activity occurred outside standard operational hours (21:00)"", ""Minor escalation to Low Threat due to elevated failed logins with risk context on Normal ML baseline""]"
EVT00548,Normal,-0.0276813980568114,Port Scan,Normal,33,"[""Activity aligns with standard operational baseline and security policies""]"
EVT00549,Normal,-0.0294461607984466,USB / Removable Media,Normal,24,"[""Activity aligns with standard operational baseline and security policies""]"
EVT00550,Normal,-0.0040514176747427,Malware,Medium Threat,47,"[""Malware payload or malicious signature detected"", ""Activity occurred outside standard operational hours (21:00)"", ""Escalated to Medium Threat due to strong active attack indicator combined with risk context on Normal ML baseline""]"
EVT00551,Normal,-0.055744785347123,Phishing,Normal,20,"[""Activity aligns with standard operational baseline and security policies""]"
EVT00552,Normal,-0.0488654564767908,Brute Force,Low Threat,28,"[""Elevated failed login attempts (8 attempts)"", ""Activity occurred outside standard operational hours (21:00)"", ""Minor escalation to Low Threat due to elevated failed logins with risk context on Normal ML baseline""]"
EVT00553,Normal,-0.0618512248002012,SQL Injection,Low Threat,31,"[""Critical asset vulnerability present (CVSS 9.1)"", ""Activity occurred outside standard operational hours (22:00)"", ""Minor escalation to Low Threat due to critical asset vulnerability and after-hours context on Normal ML baseline""]"
EVT00554,Normal,-0.0571923792494016,Privilege Escalation,Normal,19,"[""Activity aligns with standard operational baseline and security policies""]"
EVT00555,Normal,-0.061624912022722,Privilege Escalation,Normal,13,"[""Activity aligns with standard operational baseline and security policies""]"
EVT00556,Normal,-0.0468225168077423,SQL Injection,Normal,15,"[""Activity aligns with standard operational baseline and security policies""]"
EVT00557,Normal,-0.0340004726209645,Port Scan,Normal,28,"[""Activity aligns with standard operational baseline and security policies""]"
EVT00558,Normal,-0.0416155638047791,Brute Force,Low Threat,30,"[""Elevated failed login attempts (4 attempts)"", ""Activity occurred outside standard operational hours (22:00)"", ""Minor escalation to Low Threat due to elevated failed logins with risk context on Normal ML baseline""]"
EVT00559,Normal,-0.0364927970465626,Port Scan,Normal,27,"[""Activity aligns with standard operational baseline and security policies""]"
EVT00560,Normal,-0.0465627670257788,SQL Injection,Normal,21,"[""Activity aligns with standard operational baseline and security policies""]"
EVT00561,Normal,-0.0662183803678932,SQL Injection,Normal,12,"[""Activity aligns with standard operational baseline and security policies""]"
EVT00562,Normal,-0.0128943001071495,Brute Force,Medium Threat,45,"[""Excessive failed login attempts (12 attempts exceeded threshold of 10)"", ""Activity occurred outside standard operational hours (22:00)"", ""Escalated to Medium Threat due to strong active attack indicator combined with risk context on Normal ML baseline""]"
EVT00563,Normal,-0.0040814287752592,Brute Force,Medium Threat,47,"[""Excessive failed login attempts (18 attempts exceeded threshold of 10)"", ""Activity occurred outside standard operational hours (22:00)"", ""Escalated to Medium Threat due to strong active attack indicator combined with risk context on Normal ML baseline""]"
EVT00564,Normal,-0.0507184091738256,Port Scan,Normal,21,"[""Activity aligns with standard operational baseline and security policies""]"
EVT00565,Normal,-0.0458290095108759,Port Scan,Normal,15,"[""Activity aligns with standard operational baseline and security policies""]"
EVT00566,Normal,-0.0412300638376365,Phishing,Normal,30,"[""Activity aligns with standard operational baseline and security policies""]"
EVT00567,Normal,-0.0484018770647037,USB / Removable Media,Normal,21,"[""Activity aligns with standard operational baseline and security policies""]"
EVT00568,Normal,-0.028750484727933,Malware,Medium Threat,52,"[""Malware payload or malicious signature detected"", ""High asset vulnerability present (CVSS 7.8)"", ""Activity occurred outside standard operational hours (23:00)"", ""Escalated to Medium Threat due to strong active attack indicator combined with risk context on Normal ML baseline""]"
EVT00569,Normal,-0.0483757808100245,Port Scan,Normal,15,"[""Activity aligns with standard operational baseline and security policies""]"
EVT00570,Normal,-0.0228551029208967,Phishing,Normal,34,"[""Activity aligns with standard operational baseline and security policies""]"
EVT00571,Normal,-0.0687559945653645,SQL Injection,Normal,17,"[""Activity aligns with standard operational baseline and security policies""]"
EVT00572,Suspicious,0.0043126082885566,Malware,Critical Threat,79,"[""Malware payload or malicious signature detected"", ""Critical asset vulnerability present (CVSS 9.0)"", ""Activity occurred outside standard operational hours (23:00)"", ""Isolation Forest flagged event as anomalous (score: 0.004313)""]"
EVT00573,Normal,-0.0523390304329534,Brute Force,Medium Threat,38,"[""Excessive failed login attempts (13 attempts exceeded threshold of 10)"", ""Activity occurred outside standard operational hours (23:00)"", ""Escalated to Medium Threat due to strong active attack indicator combined with risk context on Normal ML baseline""]"
EVT00574,Normal,-0.0586742866171911,USB / Removable Media,Normal,13,"[""Activity aligns with standard operational baseline and security policies""]"
EVT00575,Normal,-0.0620499901375538,Privilege Escalation,Normal,19,"[""Activity aligns with standard operational baseline and security policies""]"
EVT00576,Normal,-0.0179369899837515,Brute Force,Medium Threat,44,"[""Excessive failed login attempts (11 attempts exceeded threshold of 10)"", ""Activity occurred outside standard operational hours (23:00)"", ""Escalated to Medium Threat due to strong active attack indicator combined with risk context on Normal ML baseline""]"
EVT00577,Normal,-0.0073003598481893,Malware,Medium Threat,46,"[""Malware payload or malicious signature detected"", ""Activity occurred outside standard operational hours (00:00)"", ""Escalated to Medium Threat due to strong active attack indicator combined with risk context on Normal ML baseline""]"
EVT00578,Normal,-0.0489872102577198,Brute Force,Medium Threat,45,"[""Excessive failed login attempts (17 attempts exceeded threshold of 10)"", ""Activity occurred outside standard operational hours (00:00)"", ""Escalated to Medium Threat due to strong active attack indicator combined with risk context on Normal ML baseline""]"
EVT00579,Normal,-0.0582086406288845,Privilege Escalation,Normal,23,"[""Activity aligns with standard operational baseline and security policies""]"
EVT00580,Normal,-0.0230965541359244,Malware,Medium Threat,53,"[""Malware payload or malicious signature detected"", ""High asset vulnerability present (CVSS 8.4)"", ""Activity occurred outside standard operational hours (00:00)"", ""Escalated to Medium Threat due to strong active attack indicator combined with risk context on Normal ML baseline""]"
EVT00581,Normal,-0.0488331843539154,Port Scan,Normal,15,"[""Activity aligns with standard operational baseline and security policies""]"
EVT00582,Normal,-0.032882156519934,Brute Force,Medium Threat,48,"[""Excessive failed login attempts (15 attempts exceeded threshold of 10)"", ""Activity occurred outside standard operational hours (00:00)"", ""Escalated to Medium Threat due to strong active attack indicator combined with risk context on Normal ML baseline""]"
EVT00583,Normal,-0.0523602005820061,Unauthorized File Access,Normal,14,"[""Activity aligns with standard operational baseline and security policies""]"
